Entity,Number of data,Hard EM,Soft EM,F1,BEM
PERSON,293,0.4709897610921502,0.9351535836177475,0.5494880546075085,0.8839590443686007
ORG,293,0.41638225255972694,0.9249146757679181,0.5426621160409556,0.8771331058020477
FAC,10,0.8,1.0,0.9,0.6
NORP,19,0.5263157894736842,0.8421052631578947,0.5263157894736842,0.8947368421052632
unknown,248,0.4314516129032258,0.8669354838709677,0.5282258064516129,0.8346774193548387
multiple,903,0.4529346622369878,0.9534883720930233,0.5459579180509413,0.9047619047619048
CARDINAL,47,0.44680851063829785,0.8936170212765957,0.48936170212765956,0.851063829787234
GPE,34,0.2647058823529412,0.6470588235294118,0.5588235294117647,0.9705882352941176
WORK_OF_ART,18,0.4444444444444444,1.0,0.6111111111111112,0.9444444444444444
DATE,36,0.3055555555555556,0.7777777777777778,0.3888888888888889,0.75
EVENT,5,0.8,1.0,1.0,0.6
LOC,9,0.5555555555555556,0.8888888888888888,0.6666666666666666,0.8888888888888888
MONEY,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333
PERCENT,2,0.5,0.5,0.5,0.5
ORDINAL,1,0.0,1.0,0.0,1.0
QUANTITY,2,0.5,0.5,0.5,0.5
PRODUCT,10,0.2,0.8,0.2,0.7
TIME,2,0.5,1.0,0.5,0.5
LANGUAGE,1,1.0,1.0,1.0,1.0
LAW,2,1.0,1.0,1.0,1.0
Overall,1938,0.44478844169246645,0.9226006191950464,0.542311661506708,0.8802889576883385
