Entity,Number of data,Hard EM,Soft EM,F1,BEM,Human
PERSON,293,0.21160409556313994,0.6757679180887372,0.39479646472526175,0.8498293515358362,0.7406143344709898
ORG,293,0.20477815699658702,0.7201365187713311,0.3852174543272042,0.8976109215017065,0.78839590443686
FAC,10,0.2,0.4,0.295200666473486,0.8,0.4
NORP,19,0.21052631578947367,0.5263157894736842,0.3277920910146729,0.7894736842105263,0.6842105263157895
unknown,248,0.13709677419354838,0.5725806451612904,0.28884605089748605,0.8145161290322581,0.7056451612903226
multiple,903,0.28349944629014395,0.7862679955703211,0.48015019551524424,0.9169435215946844,0.8305647840531561
CARDINAL,47,0.1702127659574468,0.6170212765957447,0.292837406615142,0.8723404255319149,0.723404255319149
GPE,34,0.14705882352941177,0.5294117647058824,0.4561219975616397,0.9117647058823529,0.8823529411764706
WORK_OF_ART,18,0.2777777777777778,0.8333333333333334,0.512481115067322,0.8888888888888888,0.8333333333333334
DATE,36,0.08333333333333333,0.5555555555555556,0.25402779683160215,0.8611111111111112,0.7777777777777778
EVENT,5,0.2,0.4,0.3338888888888889,0.8,0.4
LOC,9,0.3333333333333333,0.6666666666666666,0.5247442680776014,0.8888888888888888,0.7777777777777778
MONEY,3,0.0,0.0,0.0,1.0,0.3333333333333333
PERCENT,2,0.0,1.0,0.1769230769230769,1.0,0.5
ORDINAL,1,0.0,1.0,0.2857142857142857,1.0,1.0
QUANTITY,2,0.0,0.0,0.14285714285714288,1.0,0.5
PRODUCT,10,0.0,0.6,0.16413419913419916,0.7,0.8
TIME,2,0.0,0.5,0.1111111111111111,1.0,0.5
LANGUAGE,1,0.0,0.0,0.0,0.0,0.0
LAW,2,0.5,0.5,0.5,0.5,0.5
Overall,1938,0.22910216718266255,0.7100103199174407,0.413186651408858,0.8844169246646026,0.7843137254901961
