Entity,Number of data,Hard EM,Soft EM,F1,BEM,Human
PERSON,293,0.7303754266211604,0.7372013651877133,0.7933799549398826,0.8156996587030717,0.8191126279863481
ORG,293,0.7030716723549488,0.7337883959044369,0.7623790316623081,0.8191126279863481,0.8088737201365188
FAC,10,0.5,0.5,0.5285714285714286,0.5,0.5
NORP,19,0.5789473684210527,0.631578947368421,0.6754385964912281,0.7894736842105263,0.7368421052631579
unknown,248,0.5483870967741935,0.5766129032258065,0.628482404692082,0.6975806451612904,0.717741935483871
multiple,903,0.7962347729789591,0.8084163898117387,0.8351245078722113,0.8803986710963455,0.858250276854928
CARDINAL,47,0.6170212765957447,0.6595744680851063,0.6973350526542015,0.7021276595744681,0.723404255319149
GPE,34,0.5588235294117647,0.5882352941176471,0.7903828197945844,0.8235294117647058,0.8235294117647058
WORK_OF_ART,18,0.7777777777777778,0.8333333333333334,0.8240740740740741,0.8333333333333334,0.8333333333333334
DATE,36,0.6666666666666666,0.6666666666666666,0.7497354497354498,0.8333333333333334,0.7777777777777778
EVENT,5,0.6,0.6,0.6631578947368422,0.8,1.0
LOC,9,0.3333333333333333,0.4444444444444444,0.5396825396825398,0.6666666666666666,0.7777777777777778
MONEY,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
PERCENT,2,0.0,0.0,0.0,0.5,0.5
ORDINAL,1,0.0,0.0,0.6666666666666666,1.0,1.0
QUANTITY,2,0.0,0.0,0.0,0.0,0.0
PRODUCT,10,0.5,0.6,0.5571428571428572,0.6,0.7
TIME,2,0.5,0.5,0.5,1.0,0.5
LANGUAGE,1,0.0,0.0,0.6666666666666666,1.0,1.0
LAW,2,1.0,1.0,1.0,1.0,1.0
Overall,1938,0.717750257997936,0.7363261093911249,0.7757929642790995,0.824045407636739,0.8152734778121775
