Entity,Number of data,Hard EM,Soft EM,F1,BEM,Human
PERSON,293,0.06484641638225255,0.7406143344709898,0.2919426075387432,0.9385665529010239,0.8020477815699659
ORG,293,0.08191126279863481,0.7713310580204779,0.26757386901234226,0.9556313993174061,0.8498293515358362
FAC,10,0.1,0.7,0.2762509534706331,0.8,0.7
NORP,19,0.10526315789473684,0.47368421052631576,0.1955096073517126,0.7894736842105263,0.5263157894736842
unknown,248,0.06048387096774194,0.6411290322580645,0.23034587308800114,0.9314516129032258,0.7782258064516129
multiple,903,0.07973421926910298,0.840531561461794,0.3375406204558131,0.9667774086378738,0.8859357696566998
CARDINAL,47,0.06382978723404255,0.6382978723404256,0.22382782445224617,0.9148936170212766,0.7659574468085106
GPE,34,0.058823529411764705,0.6176470588235294,0.43793151133116526,1.0,0.9705882352941176
WORK_OF_ART,18,0.1111111111111111,0.8888888888888888,0.3512746716891135,1.0,0.8888888888888888
DATE,36,0.1388888888888889,0.5833333333333334,0.3523290955308498,0.9444444444444444,0.75
EVENT,5,0.0,0.4,0.21208010335917313,1.0,0.8
LOC,9,0.0,0.6666666666666666,0.25325825543216846,0.8888888888888888,0.8888888888888888
MONEY,3,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
PERCENT,2,0.0,0.5,0.07692307692307693,1.0,0.5
ORDINAL,1,1.0,1.0,1.0,1.0,1.0
QUANTITY,2,0.0,0.0,0.202020202020202,1.0,0.5
PRODUCT,10,0.1,0.8,0.24282828282828284,1.0,1.0
TIME,2,0.0,0.5,0.09090909090909091,1.0,0.5
LANGUAGE,1,0.0,1.0,0.19999999999999998,1.0,1.0
LAW,2,0.0,1.0,0.2948717948717949,1.0,1.0
Overall,1938,0.07585139318885449,0.7672858617131063,0.3018856053347403,0.9525283797729618,0.8441692466460269
