Entity,Number of data,Hard EM,Soft EM,F1,BEM
PERSON,293,0.08191126279863481,0.9010238907849829,0.08191126279863481,0.9351535836177475
ORG,293,0.09556313993174062,0.9010238907849829,0.09897610921501707,0.9146757679180887
FAC,10,0.2,1.0,0.2,0.8
NORP,19,0.21052631578947367,0.7894736842105263,0.21052631578947367,0.8947368421052632
unknown,248,0.15725806451612903,0.8266129032258065,0.15725806451612903,0.8467741935483871
multiple,903,0.08084163898117387,0.9413067552602437,0.08859357696567,0.9280177187153932
CARDINAL,47,0.1702127659574468,0.851063829787234,0.1702127659574468,0.851063829787234
GPE,34,0.14705882352941177,0.6176470588235294,0.17647058823529413,0.8529411764705882
WORK_OF_ART,18,0.1111111111111111,1.0,0.1111111111111111,0.9444444444444444
DATE,36,0.25,0.8055555555555556,0.25,0.75
EVENT,5,0.2,0.6,0.2,0.8
LOC,9,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.7777777777777778
MONEY,3,0.3333333333333333,1.0,0.3333333333333333,1.0
PERCENT,2,0.5,1.0,0.5,0.5
ORDINAL,1,0.0,1.0,0.0,1.0
QUANTITY,2,1.0,1.0,1.0,0.5
PRODUCT,10,0.1,0.8,0.1,0.7
TIME,2,0.0,1.0,0.0,1.0
LANGUAGE,1,0.0,1.0,0.0,1.0
LAW,2,0.0,1.0,0.0,1.0
Overall,1938,0.10371517027863777,0.9014447884416925,0.10835913312693499,0.9066047471620227
