Entity,Number of data,Hard EM,Soft EM,F1,BEM,Human
PERSON,293,0.0,0.8327645051194539,0.10233177084679956,0.9556313993174061,0.9180887372013652
ORG,293,0.0,0.825938566552901,0.07297486283653663,0.9556313993174061,0.9044368600682594
FAC,10,0.0,0.8,0.11434045486677066,1.0,0.8
NORP,19,0.0,0.5789473684210527,0.0608702268076963,0.8947368421052632,0.7894736842105263
unknown,248,0.0,0.6854838709677419,0.06399961431002359,0.9153225806451613,0.842741935483871
multiple,903,0.0,0.884828349944629,0.12231873842740967,0.9778516057585825,0.9191583610188261
CARDINAL,47,0.0,0.6808510638297872,0.062000229962893574,0.8936170212765957,0.8297872340425532
GPE,34,0.0,0.5294117647058824,0.161181531501345,1.0,0.8529411764705882
WORK_OF_ART,18,0.0,0.8888888888888888,0.08589448242510717,0.9444444444444444,0.8888888888888888
DATE,36,0.0,0.6666666666666666,0.06787450820771097,0.9444444444444444,0.75
EVENT,5,0.0,0.4,0.1312121212121212,1.0,0.8
LOC,9,0.0,0.6666666666666666,0.07250932579453888,0.8888888888888888,0.8888888888888888
MONEY,3,0.0,0.6666666666666666,0.04285714285714285,0.6666666666666666,0.6666666666666666
PERCENT,2,0.0,0.5,0.012987012987012988,1.0,0.5
ORDINAL,1,0.0,1.0,0.15384615384615385,1.0,1.0
QUANTITY,2,0.0,0.0,0.0,0.5,0.0
PRODUCT,10,0.0,0.7,0.07366714109840582,0.8,0.9
TIME,2,0.0,1.0,0.03125,1.0,1.0
LANGUAGE,1,0.0,1.0,0.05063291139240507,1.0,1.0
LAW,2,0.0,1.0,0.12535612535612536,1.0,1.0
Overall,1938,0.0,0.8194014447884417,0.10066657701454657,0.957688338493292,0.8962848297213623
