Entity,Number of data,Hard EM,Soft EM,F1,BEM
PERSON,950,0.13894736842105262,0.8810526315789474,0.14105263157894737,0.8852631578947369
ORG,227,0.14977973568281938,0.8810572687224669,0.15859030837004406,0.8898678414096917
unknown,620,0.21451612903225806,0.7661290322580645,0.2161290322580645,0.8161290322580645
"['PERSON', 'GPE', 'PERSON']",2,0.0,1.0,0.0,1.0
QUANTITY,14,0.14285714285714285,0.5,0.14285714285714285,1.0
LOC,38,0.2631578947368421,0.8157894736842105,0.2631578947368421,0.8421052631578947
GPE,238,0.19327731092436976,0.8403361344537815,0.19747899159663865,0.8445378151260504
"['GPE', 'GPE', 'GPE', 'ORG']",1,0.0,1.0,0.0,1.0
"['GPE', 'DATE']",1,0.0,0.0,0.0,0.0
DATE,437,0.30892448512585813,0.8032036613272311,0.3180778032036613,0.7780320366132724
"['NORP', 'ORG']",6,0.0,1.0,0.0,1.0
NORP,49,0.22448979591836735,0.7346938775510204,0.22448979591836735,0.8163265306122449
ORDINAL,11,0.2727272727272727,0.9090909090909091,0.2727272727272727,0.8181818181818182
"['PERSON', 'NORP', 'PERSON']",7,0.0,1.0,0.0,1.0
"['DATE', 'ORDINAL', 'WORK_OF_ART']",1,0.0,0.0,0.0,1.0
"['PERSON', 'ORG']",5,0.8,1.0,0.8,0.6
"['ORG', 'PERSON']",8,0.0,0.75,0.0,1.0
CARDINAL,144,0.2361111111111111,0.8125,0.24305555555555555,0.8125
"['LOC', 'NORP', 'LOC']",1,0.0,1.0,0.0,1.0
MONEY,10,0.4,0.9,0.4,0.7
"['PERSON', 'ORG', 'PERSON', 'PERSON']",2,0.0,1.0,0.0,1.0
"['DATE', 'EVENT']",2,0.5,1.0,0.5,0.5
"['DATE', 'ORG']",4,0.25,0.75,0.25,0.75
FAC,12,0.25,0.8333333333333334,0.3333333333333333,0.75
"['GPE', 'GPE', 'DATE']",1,0.0,1.0,0.0,1.0
"['CARDINAL', 'LOC']",1,1.0,1.0,1.0,0.0
"['NORP', 'ORG', 'NORP']",1,0.0,1.0,0.0,1.0
"['ORG', 'DATE']",2,0.5,1.0,0.5,0.5
"['QUANTITY', 'FAC']",1,0.0,1.0,0.0,1.0
"['NORP', 'GPE']",6,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
"['DATE', 'CARDINAL']",6,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.6666666666666666
"['PERSON', 'GPE']",9,0.2222222222222222,0.8888888888888888,0.2222222222222222,0.7777777777777778
"['PERSON', 'PERSON', 'GPE']",1,0.0,1.0,0.0,1.0
"['ORG', 'PERSON', 'NORP', 'PERSON']",1,0.0,1.0,0.0,1.0
"['PERSON', 'WORK_OF_ART']",2,0.0,1.0,0.0,1.0
"['PERSON', 'ORG', 'PERSON', 'PERSON', 'ORG', 'PERSON', 'PERSON', 'ORG', 'PERSON']",1,0.0,1.0,0.0,1.0
WORK_OF_ART,13,0.23076923076923078,0.6923076923076923,0.23076923076923078,0.7692307692307693
"['DATE', 'PERSON']",4,0.25,0.75,0.25,0.5
"['ORG', 'LOC']",2,0.0,0.5,0.0,1.0
"['CARDINAL', 'ORG']",2,0.5,1.0,0.5,0.5
"['PERSON', 'GPE', 'GPE', 'GPE', 'GPE', 'GPE']",1,0.0,1.0,0.0,1.0
"['PERSON', 'PERSON', 'ORG']",5,0.0,1.0,0.0,1.0
"['NORP', 'PERSON']",6,0.0,0.8333333333333334,0.0,1.0
TIME,7,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.8571428571428571
"['ORG', 'GPE']",12,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.9166666666666666
"['PERSON', 'GPE', 'PERSON', 'GPE', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'GPE', 'PERSON', 'GPE', 'GPE', 'GPE', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'GPE']",1,0.0,1.0,0.0,1.0
