Entity,Number of data,Hard EM,Soft EM,F1,BEM,Human
PERSON,950,0.6473684210526316,0.6557894736842105,0.7027543859649115,0.7231578947368421,0.728421052631579
GPE,238,0.6386554621848739,0.6596638655462185,0.6949179671868747,0.7394957983193278,0.7605042016806722
ORG,227,0.6167400881057269,0.6696035242290749,0.6783549783549785,0.73568281938326,0.7092511013215859
NORP,49,0.3469387755102041,0.40816326530612246,0.475625055216892,0.6122448979591837,0.6122448979591837
LOC,38,0.39473684210526316,0.39473684210526316,0.5258771929824562,0.5789473684210527,0.6052631578947368
WORK_OF_ART,13,0.5384615384615384,0.5384615384615384,0.6025641025641025,0.6153846153846154,0.6153846153846154
FAC,12,0.6666666666666666,0.6666666666666666,0.8166666666666668,0.8333333333333334,0.75
PRODUCT,9,0.2222222222222222,0.2222222222222222,0.34074074074074073,0.4444444444444444,0.4444444444444444
EVENT,7,0.5714285714285714,0.5714285714285714,0.6857142857142857,0.7142857142857143,0.7142857142857143
LAW,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
LANGUAGE,2,0.5,0.5,0.5,0.5,1.0
Overall,1548,0.6214470284237726,0.6395348837209303,0.683322147275635,0.7177002583979328,0.7215762273901809
