Entity,Number of data,Hard EM,Soft EM,F1,BEM,Human
PERSON,950,0.05052631578947368,0.5368421052631579,0.1984393315827425,0.8789473684210526,0.6031578947368421
GPE,238,0.025210084033613446,0.6050420168067226,0.17936603313089117,0.8613445378151261,0.7310924369747899
ORG,227,0.039647577092511016,0.6299559471365639,0.19369915704065152,0.9118942731277533,0.7400881057268722
NORP,49,0.0,0.3877551020408163,0.10496000045398861,0.8775510204081632,0.6938775510204082
LOC,38,0.05263157894736842,0.47368421052631576,0.20592627549300066,0.8157894736842105,0.7105263157894737
WORK_OF_ART,13,0.0,0.38461538461538464,0.14797848985492007,0.7692307692307693,0.46153846153846156
FAC,12,0.0,0.4166666666666667,0.19646609840108295,1.0,0.6666666666666666
PRODUCT,9,0.0,0.4444444444444444,0.14076867214122116,1.0,0.7777777777777778
EVENT,7,0.0,0.5714285714285714,0.27722917123838786,1.0,0.5714285714285714
LAW,3,0.0,0.3333333333333333,0.04784992784992786,0.6666666666666666,1.0
LANGUAGE,2,0.0,0.5,0.09416445623342173,1.0,1.0
Overall,1548,0.04198966408268734,0.5516795865633075,0.1911919525328476,0.8804909560723514,0.6498708010335917
