Entity,Number of data,Hard EM,Soft EM,F1,BEM,Human
PERSON,950,0.016842105263157894,0.6484210526315789,0.2012208300873322,0.9536842105263158,0.7210526315789474
GPE,238,0.01680672268907563,0.6932773109243697,0.18794549133203053,0.9201680672268907,0.7899159663865546
ORG,227,0.01762114537444934,0.73568281938326,0.1844174789251997,0.9515418502202643,0.8105726872246696
NORP,49,0.0,0.42857142857142855,0.07520638048692987,0.8571428571428571,0.7755102040816326
LOC,38,0.0,0.5263157894736842,0.1830900392261816,0.8421052631578947,0.8157894736842105
WORK_OF_ART,13,0.0,0.5384615384615384,0.150229454948511,0.8461538461538461,0.5384615384615384
FAC,12,0.0,0.5,0.13719096808066245,0.9166666666666666,0.5833333333333334
PRODUCT,9,0.0,0.3333333333333333,0.1301218208080953,0.8888888888888888,0.7777777777777778
EVENT,7,0.0,0.7142857142857143,0.25807356062228626,0.7142857142857143,0.8571428571428571
LAW,3,0.0,0.3333333333333333,0.07313997477931905,1.0,0.6666666666666666
LANGUAGE,2,0.0,0.0,0.04411764705882353,0.5,1.0
Overall,1548,0.015503875968992248,0.6531007751937985,0.19074977934873816,0.9392764857881137,0.7474160206718347
