Entity,Number of data,Hard EM,Soft EM,F1,BEM,Human
PERSON,950,0.0,0.7631578947368421,0.12523866859102603,0.9589473684210527,0.8610526315789474
GPE,238,0.0,0.7142857142857143,0.09995765012147094,0.8697478991596639,0.8067226890756303
ORG,227,0.0,0.7577092511013216,0.10288526071771761,0.933920704845815,0.8502202643171806
NORP,49,0.0,0.5918367346938775,0.06056943198690685,0.7551020408163265,0.7755102040816326
LOC,38,0.0,0.6052631578947368,0.11299343601675937,0.7894736842105263,0.7368421052631579
WORK_OF_ART,13,0.0,0.46153846153846156,0.056205657853403264,0.8461538461538461,0.7692307692307693
FAC,12,0.0,0.5833333333333334,0.17691165280679347,0.8333333333333334,0.75
PRODUCT,9,0.0,0.4444444444444444,0.04675036035923388,1.0,0.7777777777777778
EVENT,7,0.0,0.5714285714285714,0.10673476038251849,0.5714285714285714,0.7142857142857143
LAW,3,0.0,0.3333333333333333,0.03678326721961774,0.6666666666666666,1.0
LANGUAGE,2,0.0,1.0,0.13704819277108435,1.0,1.0
Overall,1548,0.0,0.7383720930232558,0.11485091663319735,0.9270025839793282,0.8430232558139535
