Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity,Human
DATE,52,0.0,0.7307692307692307,0.10072651262805571,0.9423076923076923,0.8653846153846154,0.8269230769230769
CARDINAL,105,0.0,0.7238095238095238,0.06793590686024621,0.9333333333333333,0.780952380952381,0.8095238095238095
QUANTITY,1,0.0,0.0,0.0,1.0,0.0,0.0
ORDINAL,3,0.0,0.6666666666666666,0.1858974358974359,1.0,0.6666666666666666,0.6666666666666666
MONEY,4,0.0,0.25,0.05583847535733812,0.75,0.5,0.5
PERCENT,2,0.0,0.5,0.012987012987012988,1.0,0.5,0.5
TIME,5,0.0,1.0,0.06028294735741544,1.0,0.8,1.0
PERSON,744,0.0,0.864247311827957,0.10743364288222292,0.9690860215053764,0.8467741935483871,0.918010752688172
GPE,296,0.0,0.8817567567567568,0.136149910745642,0.9864864864864865,0.875,0.918918918918919
ORG,380,0.0,0.8236842105263158,0.0908354089218111,0.9526315789473684,0.8026315789473685,0.8973684210526316
NORP,58,0.0,0.7413793103448276,0.06918009662398131,0.9482758620689655,0.7068965517241379,0.8448275862068966
LOC,32,0.0,0.78125,0.08336868908294812,0.9375,0.84375,0.90625
unknown,189,0.0,0.6772486772486772,0.06737409864805322,0.9153439153439153,0.7671957671957672,0.873015873015873
Overall,1871,0.0,0.8209513629075361,0.10028962662937839,0.9588455371459113,0.8246926777124532,0.8963121325494388
