Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
DATE,499,0.38276553106212424,0.8557114228456913,0.41082164328657317,0.7154308617234469,0.8176352705410822
CARDINAL,169,0.3905325443786982,0.8224852071005917,0.40828402366863903,0.6331360946745562,0.7633136094674556
QUANTITY,19,0.2631578947368421,0.5263157894736842,0.3157894736842105,0.7368421052631579,0.8947368421052632
ORDINAL,13,0.46153846153846156,0.7692307692307693,0.5384615384615384,0.6153846153846154,0.6923076923076923
MONEY,11,0.45454545454545453,0.8181818181818182,0.45454545454545453,0.5454545454545454,0.8181818181818182
PERCENT,10,0.5,0.9,0.6,0.6,0.6
TIME,7,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.7142857142857143
PERSON,1035,0.4396135265700483,0.9352657004830918,0.46570048309178746,0.7198067632850241,0.8879227053140096
GPE,288,0.2708333333333333,0.8680555555555556,0.3055555555555556,0.8159722222222222,0.90625
ORG,198,0.3383838383838384,0.8838383838383839,0.37373737373737376,0.8131313131313131,0.8535353535353535
NORP,80,0.3,0.775,0.3625,0.7625,0.85
LOC,46,0.34782608695652173,0.7608695652173914,0.391304347826087,0.8043478260869565,0.8260869565217391
unknown,586,0.3037542662116041,0.7150170648464164,0.3293515358361775,0.7610921501706485,0.825938566552901
Overall,2961,0.37149611617696726,0.850388382303276,0.4005403579871665,0.7382640999662277,0.8517392772711921
