Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity
DATE,499,0.33266533066132264,0.8016032064128257,0.37074148296593185,0.7735470941883767,0.8837675350701403
CARDINAL,169,0.31952662721893493,0.7928994082840237,0.3431952662721893,0.727810650887574,0.8402366863905325
QUANTITY,19,0.2631578947368421,0.5789473684210527,0.3157894736842105,0.7894736842105263,0.7368421052631579
ORDINAL,13,0.23076923076923078,0.7692307692307693,0.3076923076923077,0.8461538461538461,0.6923076923076923
MONEY,11,0.2727272727272727,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.8181818181818182
PERCENT,10,0.6,0.8,0.7,0.4,1.0
TIME,7,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.7142857142857143,1.0
PERSON,1035,0.2927536231884058,0.8782608695652174,0.3178743961352657,0.7719806763285024,0.8676328502415459
GPE,288,0.2152777777777778,0.8541666666666666,0.23958333333333334,0.8402777777777778,0.9097222222222222
ORG,198,0.2474747474747475,0.8484848484848485,0.2828282828282828,0.8282828282828283,0.8131313131313131
NORP,80,0.25,0.675,0.2625,0.725,0.775
LOC,46,0.17391304347826086,0.717391304347826,0.2391304347826087,0.9130434782608695,0.8260869565217391
unknown,586,0.26621160409556316,0.6791808873720137,0.295221843003413,0.7798634812286689,0.8122866894197952
Overall,2961,0.2826747720364742,0.8047956771361027,0.3120567375886525,0.7811550151975684,0.8541033434650456
