Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity,Human
DATE,499,0.006012024048096192,0.5270541082164328,0.17760370037901121,0.8677354709418837,0.685370741482966,0.6733466933867736
CARDINAL,169,0.0,0.5088757396449705,0.12173741081290833,0.893491124260355,0.5798816568047337,0.6804733727810651
QUANTITY,19,0.0,0.3157894736842105,0.15088059260066936,0.8421052631578947,0.47368421052631576,0.7368421052631579
ORDINAL,13,0.0,0.5384615384615384,0.1355081957594179,0.9230769230769231,0.46153846153846156,0.7692307692307693
MONEY,11,0.0,0.45454545454545453,0.08221986346292671,0.9090909090909091,0.5454545454545454,0.7272727272727273
PERCENT,10,0.0,0.4,0.12046077210460773,0.8,0.4,0.4
TIME,7,0.0,0.2857142857142857,0.116826171272757,1.0,0.7142857142857143,0.7142857142857143
PERSON,1035,0.01642512077294686,0.6521739130434783,0.20255918265818149,0.9497584541062802,0.6376811594202898,0.7236714975845411
GPE,288,0.017361111111111112,0.6979166666666666,0.19145368942172503,0.9201388888888888,0.7534722222222222,0.8020833333333334
ORG,198,0.005050505050505051,0.6666666666666666,0.18003699791367334,0.9292929292929293,0.6111111111111112,0.7575757575757576
NORP,80,0.0,0.5,0.11544215997179899,0.9,0.6,0.75
LOC,46,0.0,0.5434782608695652,0.18555192037888446,0.8695652173913043,0.7391304347826086,0.8260869565217391
unknown,586,0.034129692832764506,0.4880546075085324,0.1357692838026208,0.8276450511945392,0.6518771331058021,0.7679180887372014
Overall,2961,0.015535292131036813,0.5849375211077339,0.17376538999457314,0.900371496116177,0.6524822695035462,0.7328605200945626
