Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instrandom
DATE,499,0.33266533066132264,0.8016032064128257,0.37074148296593185,0.7735470941883767,0.8476953907815631
CARDINAL,169,0.31952662721893493,0.7928994082840237,0.3431952662721893,0.727810650887574,0.8224852071005917
QUANTITY,19,0.2631578947368421,0.5789473684210527,0.3157894736842105,0.7894736842105263,0.7368421052631579
ORDINAL,13,0.23076923076923078,0.7692307692307693,0.3076923076923077,0.8461538461538461,0.6153846153846154
MONEY,11,0.2727272727272727,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.6363636363636364
PERCENT,10,0.6,0.8,0.7,0.4,0.8
TIME,7,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.5714285714285714
PERSON,1035,0.2927536231884058,0.8782608695652174,0.3178743961352657,0.7719806763285024,0.863768115942029
GPE,288,0.2152777777777778,0.8541666666666666,0.23958333333333334,0.8402777777777778,0.875
ORG,198,0.2474747474747475,0.8484848484848485,0.2828282828282828,0.8282828282828283,0.797979797979798
NORP,80,0.25,0.675,0.2625,0.725,0.8
LOC,46,0.17391304347826086,0.717391304347826,0.2391304347826087,0.9130434782608695,0.7608695652173914
Overall,2375,0.2867368421052632,0.8357894736842105,0.3162105263157895,0.7814736842105263,0.8446315789473684
