Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instrandom,Human
DATE,52,0.15384615384615385,0.6538461538461539,0.3415310502990694,0.8653846153846154,0.75,0.8269230769230769
CARDINAL,105,0.1619047619047619,0.6571428571428571,0.2923154500145773,0.9142857142857143,0.7238095238095238,0.7333333333333333
QUANTITY,1,0.0,0.0,0.28571428571428575,1.0,1.0,1.0
ORDINAL,3,0.0,0.6666666666666666,0.3507936507936508,1.0,0.6666666666666666,0.6666666666666666
MONEY,4,0.0,0.0,0.06666666666666667,0.75,0.5,0.5
PERCENT,2,0.0,1.0,0.1769230769230769,1.0,0.5,0.5
TIME,5,0.2,0.6,0.45353535353535357,1.0,0.8,0.6
PERSON,744,0.23387096774193547,0.728494623655914,0.4243338033198209,0.8790322580645161,0.7594086021505376,0.7768817204301075
GPE,296,0.3310810810810811,0.8243243243243243,0.5465161028019602,0.9358108108108109,0.8547297297297297,0.8918918918918919
ORG,380,0.25526315789473686,0.7263157894736842,0.4331295720935896,0.8842105263157894,0.7868421052631579,0.7947368421052632
NORP,58,0.1206896551724138,0.6551724137931034,0.2768506969924549,0.8793103448275862,0.7413793103448276,0.7241379310344828
LOC,32,0.28125,0.8125,0.5099800046300421,0.9375,0.8125,0.90625
Overall,1682,0.24435196195005945,0.7348394768133175,0.4322937430213923,0.8935790725326992,0.7794292508917955,0.7990487514863258
