Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instrandom,Human
DATE,52,0.0,0.7307692307692307,0.10072651262805571,0.9423076923076923,0.5384615384615384,0.8269230769230769
CARDINAL,105,0.0,0.7238095238095238,0.06793590686024621,0.9333333333333333,0.638095238095238,0.8095238095238095
QUANTITY,1,0.0,0.0,0.0,1.0,0.0,0.0
ORDINAL,3,0.0,0.6666666666666666,0.1858974358974359,1.0,0.6666666666666666,0.6666666666666666
MONEY,4,0.0,0.25,0.05583847535733812,0.75,0.25,0.5
PERCENT,2,0.0,0.5,0.012987012987012988,1.0,0.5,0.5
TIME,5,0.0,1.0,0.06028294735741544,1.0,1.0,1.0
PERSON,744,0.0,0.864247311827957,0.10743364288222292,0.9690860215053764,0.7432795698924731,0.918010752688172
GPE,296,0.0,0.8817567567567568,0.136149910745642,0.9864864864864865,0.7364864864864865,0.918918918918919
ORG,380,0.0,0.8236842105263158,0.0908354089218111,0.9526315789473684,0.7052631578947368,0.8973684210526316
NORP,58,0.0,0.7413793103448276,0.06918009662398131,0.9482758620689655,0.6379310344827587,0.8448275862068966
LOC,32,0.0,0.78125,0.08336868908294812,0.9375,0.53125,0.90625
Overall,1682,0.0,0.8370986920332937,0.10398822043940838,0.9637336504161712,0.7116527942925089,0.8989298454221165
