Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero,Human
DATE,499,0.56312625250501,0.6152304609218436,0.6628816073705852,0.7414829659318637,0.7214428857715431,0.6953907815631263
CARDINAL,169,0.5621301775147929,0.5857988165680473,0.6108856955010802,0.7041420118343196,0.6923076923076923,0.6331360946745562
QUANTITY,19,0.3157894736842105,0.3684210526315789,0.47522974101921484,0.5789473684210527,0.5789473684210527,0.5263157894736842
ORDINAL,13,0.6153846153846154,0.6923076923076923,0.7282051282051284,0.7692307692307693,0.8461538461538461,0.8461538461538461
MONEY,11,0.36363636363636365,0.36363636363636365,0.6335694608421881,0.6363636363636364,0.7272727272727273,0.6363636363636364
PERCENT,10,0.2,0.4,0.4133333333333333,0.6,0.5,0.4
TIME,7,0.0,0.0,0.3523809523809524,0.42857142857142855,0.42857142857142855,0.2857142857142857
PERSON,1035,0.6483091787439613,0.659903381642512,0.7035472739820556,0.7246376811594203,0.7574879227053141,0.7275362318840579
GPE,288,0.6319444444444444,0.6666666666666666,0.7050264550264548,0.7569444444444444,0.7951388888888888,0.7638888888888888
ORG,198,0.5454545454545454,0.5808080808080808,0.6233850044456107,0.6868686868686869,0.7222222222222222,0.6717171717171717
NORP,80,0.3875,0.425,0.5274512987012985,0.6625,0.6875,0.6625
LOC,46,0.43478260869565216,0.45652173913043476,0.5829710144927537,0.6521739130434783,0.8260869565217391,0.6521739130434783
Overall,2375,0.592842105263158,0.6210526315789474,0.6693662945241888,0.7212631578947368,0.7427368421052631,0.7061052631578948
