Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero,Human
DATE,499,0.0,0.9979959919839679,0.02203795756071444,0.9559118236472945,0.7875751503006012,0.6172344689378757
CARDINAL,169,0.0,0.8816568047337278,0.021467508112436234,0.9644970414201184,0.7633136094674556,0.621301775147929
QUANTITY,19,0.0,1.0,0.06083808043529463,1.0,0.8421052631578947,0.7368421052631579
ORDINAL,13,0.0,1.0,0.013986684794138211,0.7692307692307693,0.8461538461538461,0.5384615384615384
MONEY,11,0.0,0.9090909090909091,0.03125393125393125,1.0,0.7272727272727273,0.5454545454545454
PERCENT,10,0.0,1.0,0.05619047619047619,0.9,0.9,0.5
TIME,7,0.0,1.0,0.023949579831932775,1.0,0.7142857142857143,0.42857142857142855
PERSON,1035,0.0,1.0,0.01729954939232296,0.8570048309178744,0.6898550724637681,0.6086956521739131
GPE,288,0.0,1.0,0.010599232714330836,0.90625,0.8229166666666666,0.75
ORG,198,0.0,1.0,0.016833538431953197,0.9242424242424242,0.7828282828282829,0.696969696969697
NORP,80,0.0,1.0,0.005552995719819028,0.8375,0.85,0.7
LOC,46,0.0,1.0,0.0073654634727252,0.8260869565217391,0.9130434782608695,0.7391304347826086
WORK_OF_ART,14,0.0,1.0,0.03005281059792338,0.9285714285714286,0.6428571428571429,0.2857142857142857
FAC,17,0.0,1.0,0.010695187165775402,1.0,0.5294117647058824,0.5294117647058824
PRODUCT,13,0.0,1.0,0.00676328502415459,1.0,0.6923076923076923,0.6923076923076923
EVENT,8,0.0,1.0,0.0,1.0,0.75,0.5
LAW,4,0.0,1.0,0.006666666666666666,0.75,1.0,1.0
LANGUAGE,3,0.0,1.0,0.011494252873563218,1.0,1.0,1.0
unknown,586,0.0,1.0,0.012778017670237571,0.8720136518771331,0.8088737201365188,0.7218430034129693
Overall,3020,0.0,0.9927152317880795,0.01667195279274934,0.8940397350993378,0.7619205298013245,0.6549668874172185
