Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
DATE,499,0.32665330661322645,0.6753507014028056,0.32665330661322645,0.657314629258517,0.8356713426853707
CARDINAL,169,0.31952662721893493,0.7218934911242604,0.31952662721893493,0.6627218934911243,0.8224852071005917
QUANTITY,19,0.2631578947368421,0.7368421052631579,0.2631578947368421,0.7368421052631579,0.8947368421052632
ORDINAL,13,0.23076923076923078,0.7692307692307693,0.23076923076923078,0.6153846153846154,0.6153846153846154
MONEY,11,0.2727272727272727,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.9090909090909091
PERCENT,10,0.6,0.4,0.6,0.2,0.5
TIME,7,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.5714285714285714,1.0
PERSON,1035,0.2763285024154589,0.7236714975845411,0.2782608695652174,0.702415458937198,0.881159420289855
GPE,288,0.19791666666666666,0.8020833333333334,0.2013888888888889,0.7673611111111112,0.9097222222222222
ORG,198,0.24242424242424243,0.7575757575757576,0.24242424242424243,0.7626262626262627,0.8686868686868687
NORP,80,0.25,0.75,0.25,0.7375,0.8875
LOC,46,0.17391304347826086,0.8260869565217391,0.17391304347826086,0.8260869565217391,0.8043478260869565
WORK_OF_ART,14,0.5,0.5,0.5,0.5,0.8571428571428571
FAC,17,0.5882352941176471,0.4117647058823529,0.5882352941176471,0.4117647058823529,0.9411764705882353
PRODUCT,13,0.38461538461538464,0.6153846153846154,0.38461538461538464,0.6923076923076923,0.9230769230769231
EVENT,8,0.25,0.75,0.25,0.75,0.75
LAW,4,0.25,0.75,0.25,0.75,0.75
LANGUAGE,3,0.0,1.0,0.0,1.0,0.6666666666666666
unknown,586,0.23208191126279865,0.7713310580204779,0.23378839590443687,0.7184300341296929,0.8464163822525598
Overall,3020,0.27019867549668874,0.733112582781457,0.271523178807947,0.704635761589404,0.8622516556291391
