Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero,Human
DATE,499,0.0,0.9979959919839679,0.021245222962322646,0.9318637274549099,0.8176352705410822,0.6733466933867736
CARDINAL,169,0.0,0.9230769230769231,0.02563091424055646,0.9349112426035503,0.8106508875739645,0.6804733727810651
QUANTITY,19,0.0,1.0,0.05676439939524186,1.0,0.8421052631578947,0.7368421052631579
ORDINAL,13,0.0,1.0,0.0042942132494371305,0.8461538461538461,0.8461538461538461,0.7692307692307693
MONEY,11,0.0,1.0,0.029300009001801783,1.0,0.8181818181818182,0.7272727272727273
PERCENT,10,0.0,1.0,0.06487804878048781,0.8,0.9,0.4
TIME,7,0.0,1.0,0.034340659340659344,0.8571428571428571,0.7142857142857143,0.7142857142857143
PERSON,1035,0.0,1.0,0.021431164441692515,0.9478260869565217,0.7961352657004831,0.7236714975845411
GPE,288,0.0,1.0,0.01107193778951951,0.9166666666666666,0.8715277777777778,0.8020833333333334
ORG,198,0.0,1.0,0.02108525732159503,0.9343434343434344,0.8686868686868687,0.7575757575757576
NORP,80,0.0,1.0,0.0076877625915052275,0.9375,0.8125,0.75
LOC,46,0.0,1.0,0.00979721832632071,0.9565217391304348,0.9347826086956522,0.8260869565217391
WORK_OF_ART,14,0.0,1.0,0.022683854243451766,1.0,0.6428571428571429,0.5
FAC,17,0.0,1.0,0.008543417366946778,1.0,0.47058823529411764,0.4117647058823529
PRODUCT,13,0.0,1.0,0.025784360566969262,0.9230769230769231,0.6923076923076923,0.6153846153846154
EVENT,8,0.0,1.0,0.004545454545454545,1.0,1.0,0.75
LAW,4,0.0,1.0,0.00819672131147541,1.0,1.0,0.75
LANGUAGE,3,0.0,1.0,0.010256410256410256,1.0,0.6666666666666666,1.0
unknown,586,0.0,0.9965870307167235,0.012527663204570398,0.8720136518771331,0.8464163822525598,0.7679180887372014
Overall,3020,0.0,0.9947019867549669,0.01858559296047319,0.9258278145695364,0.8231788079470199,0.7298013245033113
