Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
DATE,499,0.2905811623246493,0.7094188376753507,0.2905811623246493,0.657314629258517,0.8356713426853707
CARDINAL,169,0.27218934911242604,0.7692307692307693,0.27218934911242604,0.6568047337278107,0.8461538461538461
QUANTITY,19,0.21052631578947367,0.7894736842105263,0.21052631578947367,0.8421052631578947,0.7894736842105263
ORDINAL,13,0.3076923076923077,0.6923076923076923,0.3076923076923077,0.6153846153846154,0.7692307692307693
MONEY,11,0.45454545454545453,0.6363636363636364,0.45454545454545453,0.5454545454545454,0.7272727272727273
PERCENT,10,0.6,0.4,0.6,0.5,0.6
TIME,7,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.7142857142857143
PERSON,1035,0.14202898550724638,0.8579710144927536,0.14202898550724638,0.8280193236714976,0.9333333333333333
GPE,288,0.18055555555555555,0.8194444444444444,0.18055555555555555,0.75,0.8958333333333334
ORG,198,0.18181818181818182,0.8232323232323232,0.18181818181818182,0.7878787878787878,0.9040404040404041
NORP,80,0.175,0.825,0.175,0.675,0.8875
LOC,46,0.21739130434782608,0.782608695652174,0.21739130434782608,0.782608695652174,0.782608695652174
WORK_OF_ART,14,0.21428571428571427,0.7857142857142857,0.21428571428571427,0.6428571428571429,1.0
FAC,17,0.23529411764705882,0.7647058823529411,0.23529411764705882,0.7647058823529411,0.8823529411764706
PRODUCT,13,0.23076923076923078,0.6923076923076923,0.23076923076923078,0.6153846153846154,0.8461538461538461
EVENT,8,0.5,0.5,0.5,0.375,0.375
LAW,4,0.0,1.0,0.0,1.0,1.0
LANGUAGE,3,0.0,1.0,0.0,0.6666666666666666,1.0
unknown,586,0.20819112627986347,0.7918088737201365,0.20819112627986347,0.7389078498293515,0.841296928327645
Overall,3020,0.2009933774834437,0.8016556291390728,0.2009933774834437,0.7516556291390728,0.8798013245033113
