Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
DATE,52,0.25,0.75,0.25,0.6730769230769231,0.9615384615384616
CARDINAL,105,0.20952380952380953,0.7619047619047619,0.21904761904761905,0.7238095238095238,0.8952380952380953
QUANTITY,1,0.0,1.0,0.0,0.0,1.0
ORDINAL,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0
MONEY,4,0.25,0.5,0.25,0.75,1.0
PERCENT,2,0.5,1.0,0.5,0.5,1.0
TIME,5,0.4,0.6,0.2,0.6,0.8
PERSON,744,0.1532258064516129,0.8467741935483871,0.15456989247311828,0.7997311827956989,0.9502688172043011
GPE,296,0.07432432432432433,0.9358108108108109,0.07432432432432433,0.875,0.9797297297297297
ORG,380,0.14210526315789473,0.8605263157894737,0.14210526315789473,0.8,0.9526315789473684
NORP,58,0.20689655172413793,0.7931034482758621,0.20689655172413793,0.7068965517241379,0.9482758620689655
LOC,32,0.0625,0.9375,0.0625,0.9375,0.96875
WORK_OF_ART,17,0.29411764705882354,0.7058823529411765,0.29411764705882354,0.5882352941176471,1.0
FAC,17,0.17647058823529413,0.8235294117647058,0.17647058823529413,0.8235294117647058,0.9411764705882353
PRODUCT,21,0.09523809523809523,0.9523809523809523,0.14285714285714285,0.7619047619047619,0.9523809523809523
EVENT,9,0.0,1.0,0.0,0.8888888888888888,1.0
LAW,2,0.0,1.0,0.0,1.0,1.0
LANGUAGE,1,0.0,1.0,0.0,1.0,1.0
unknown,189,0.25925925925925924,0.7407407407407407,0.25925925925925924,0.6825396825396826,0.91005291005291
Overall,1938,0.1563467492260062,0.8446852425180599,0.15737874097007223,0.7889576883384933,0.9494324045407637
