Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero,Human
DATE,52,0.0,1.0,0.012097551571235782,0.8076923076923077,0.7884615384615384,0.75
CARDINAL,105,0.0,0.8952380952380953,0.026198034769463342,0.8571428571428571,0.8761904761904762,0.7904761904761904
QUANTITY,1,0.0,1.0,0.0,0.0,1.0,1.0
ORDINAL,3,0.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666
MONEY,4,0.25,1.0,0.27,0.75,0.5,0.5
PERCENT,2,0.0,0.5,0.0,1.0,0.5,0.5
TIME,5,0.0,1.0,0.15833333333333333,1.0,0.8,0.6
PERSON,744,0.0,1.0,0.01748706948505361,0.9018817204301075,0.875,0.8467741935483871
GPE,296,0.0,0.9898648648648649,0.008366222230386317,0.9290540540540541,0.9391891891891891,0.9256756756756757
ORG,380,0.002631578947368421,1.0,0.014307526374861856,0.9131578947368421,0.8973684210526316,0.8605263157894737
NORP,58,0.0,1.0,0.014367816091954023,0.8793103448275862,0.8448275862068966,0.7931034482758621
LOC,32,0.0,1.0,0.005280172413793104,0.9375,0.96875,0.9375
WORK_OF_ART,17,0.0,1.0,0.02430510665804783,0.7647058823529411,0.7058823529411765,0.7058823529411765
FAC,17,0.0,1.0,0.0,0.8823529411764706,0.8823529411764706,0.8235294117647058
PRODUCT,21,0.047619047619047616,1.0,0.07596371882086168,0.8095238095238095,0.9047619047619048,0.9523809523809523
EVENT,9,0.0,1.0,0.008888888888888887,0.8888888888888888,1.0,1.0
LAW,2,0.0,1.0,0.0,1.0,1.0,1.0
LANGUAGE,1,0.0,1.0,0.0,1.0,1.0,1.0
unknown,189,0.0,1.0,0.01529234209439625,0.8783068783068783,0.8095238095238095,0.7407407407407407
Overall,1938,0.0015479876160990713,0.9922600619195047,0.01659244113185079,0.8983488132094943,0.8792569659442725,0.8441692466460269
