Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
DATE,52,0.8076923076923077,0.8269230769230769,0.9615384615384616,0.9615384615384616,0.9807692307692307
CARDINAL,105,0.8285714285714286,0.8571428571428571,0.8666666666666667,0.8476190476190476,0.9428571428571428
QUANTITY,1,1.0,1.0,1.0,1.0,1.0
ORDINAL,3,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0
MONEY,4,0.5,0.5,0.5,0.75,1.0
PERCENT,2,0.5,0.5,0.5,0.0,1.0
TIME,5,1.0,1.0,1.0,0.8,0.8
PERSON,744,0.8736559139784946,0.8991935483870968,0.9502688172043011,0.9610215053763441,0.9704301075268817
GPE,296,0.8682432432432432,0.8885135135135135,0.9425675675675675,0.9527027027027027,0.9864864864864865
ORG,380,0.8736842105263158,0.9,0.9368421052631579,0.95,0.9552631578947368
NORP,58,0.8275862068965517,0.8448275862068966,0.9310344827586207,0.9655172413793104,0.9310344827586207
LOC,32,0.8125,0.84375,0.90625,0.9375,0.96875
WORK_OF_ART,17,0.7647058823529411,0.8235294117647058,0.9411764705882353,1.0,1.0
FAC,17,0.9411764705882353,1.0,1.0,1.0,1.0
PRODUCT,21,0.8095238095238095,0.8571428571428571,0.7619047619047619,0.7619047619047619,1.0
EVENT,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.8888888888888888
LAW,2,1.0,1.0,1.0,1.0,1.0
LANGUAGE,1,0.0,0.0,1.0,1.0,1.0
unknown,189,0.7777777777777778,0.8201058201058201,0.8835978835978836,0.8677248677248677,0.9312169312169312
Overall,1938,0.8534571723426213,0.8802889576883385,0.9303405572755418,0.9380804953560371,0.9638802889576883
