Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero,Human
DATE,52,0.5961538461538461,0.6153846153846154,0.7175407925407925,0.8269230769230769,0.8076923076923077,0.7884615384615384
CARDINAL,105,0.5523809523809524,0.580952380952381,0.6012560983989556,0.7238095238095238,0.7619047619047619,0.7238095238095238
QUANTITY,1,0.0,0.0,0.0,0.0,0.0,0.0
ORDINAL,3,0.6666666666666666,0.6666666666666666,0.8888888888888888,1.0,1.0,1.0
MONEY,4,0.0,0.0,0.05555555555555556,0.25,0.5,0.5
PERCENT,2,0.0,0.0,0.0,0.5,0.5,0.5
TIME,5,0.6,0.6,0.6799999999999999,0.8,0.8,0.6
PERSON,744,0.7083333333333334,0.7338709677419355,0.7739713891421672,0.8225806451612904,0.8481182795698925,0.831989247311828
GPE,296,0.7668918918918919,0.7871621621621622,0.832686076068429,0.8716216216216216,0.9121621621621622,0.8986486486486487
ORG,380,0.6947368421052632,0.7210526315789474,0.7561118705855548,0.8131578947368421,0.8394736842105263,0.8210526315789474
NORP,58,0.6206896551724138,0.6379310344827587,0.6839080459770116,0.7586206896551724,0.8620689655172413,0.7931034482758621
LOC,32,0.625,0.65625,0.7288690476190477,0.8125,0.84375,0.8125
WORK_OF_ART,17,0.5294117647058824,0.5882352941176471,0.6638655462184874,0.7647058823529411,0.7647058823529411,0.7647058823529411
FAC,17,0.6470588235294118,0.7058823529411765,0.6941176470588236,0.7058823529411765,0.7058823529411765,0.7058823529411765
PRODUCT,21,0.5238095238095238,0.5714285714285714,0.5510204081632653,0.5714285714285714,0.7142857142857143,0.7142857142857143
EVENT,9,0.6666666666666666,0.6666666666666666,0.7017543859649122,0.7777777777777778,0.8888888888888888,1.0
LAW,2,1.0,1.0,1.0,1.0,1.0,1.0
LANGUAGE,1,0.0,0.0,0.6666666666666666,1.0,1.0,1.0
unknown,189,0.48148148148148145,0.5238095238095238,0.575998075998076,0.6455026455026455,0.7619047619047619,0.7037037037037037
Overall,1938,0.6697626418988648,0.6965944272445821,0.7388332893937282,0.7977296181630547,0.8379772961816305,0.8152734778121775
