Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
DATE,52,0.1346153846153846,0.75,0.19230769230769232,0.9423076923076923,0.9615384615384616
CARDINAL,105,0.17142857142857143,0.819047619047619,0.19047619047619047,0.8571428571428571,0.9047619047619048
QUANTITY,1,1.0,1.0,1.0,0.0,0.0
ORDINAL,3,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,1.0
MONEY,4,0.25,0.5,0.25,0.75,1.0
PERCENT,2,0.5,0.5,0.5,0.5,0.5
TIME,5,0.2,1.0,0.2,0.8,0.8
PERSON,744,0.125,0.8817204301075269,0.20161290322580644,0.9314516129032258,0.9650537634408602
GPE,296,0.08108108108108109,0.8783783783783784,0.16554054054054054,0.9594594594594594,0.9763513513513513
ORG,380,0.14736842105263157,0.8789473684210526,0.2236842105263158,0.9184210526315789,0.9736842105263158
NORP,58,0.1896551724137931,0.8620689655172413,0.22413793103448276,0.896551724137931,0.9310344827586207
LOC,32,0.125,0.90625,0.21875,0.9375,0.9375
WORK_OF_ART,17,0.17647058823529413,0.8823529411764706,0.17647058823529413,0.8823529411764706,0.9411764705882353
FAC,17,0.0,1.0,0.17647058823529413,1.0,1.0
PRODUCT,21,0.19047619047619047,0.8095238095238095,0.23809523809523808,0.9047619047619048,1.0
EVENT,9,0.0,0.6666666666666666,0.2222222222222222,1.0,1.0
LAW,2,0.0,1.0,0.0,1.0,1.0
LANGUAGE,1,0.0,1.0,0.0,1.0,1.0
unknown,189,0.164021164021164,0.7777777777777778,0.25396825396825395,0.8783068783068783,0.9312169312169312
Overall,1938,0.13209494324045407,0.8622291021671826,0.20639834881320948,0.9215686274509803,0.9597523219814241
