Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
fid,fid,fid,fid,fid,fid,fid
DATE,52,1.0,1.0,1.0,1.0,1.0
CARDINAL,105,1.0,1.0,1.0,1.0,1.0
QUANTITY,1,1.0,1.0,1.0,1.0,1.0
ORDINAL,3,1.0,1.0,1.0,1.0,1.0
MONEY,4,1.0,1.0,1.0,1.0,1.0
PERCENT,2,1.0,1.0,1.0,0.0,1.0
TIME,5,1.0,1.0,1.0,1.0,1.0
PERSON,744,1.0,1.0,1.0,1.0,1.0
GPE,296,1.0,1.0,1.0,1.0,1.0
ORG,380,1.0,1.0,1.0,1.0,1.0
NORP,58,1.0,1.0,1.0,1.0,1.0
LOC,32,1.0,1.0,1.0,1.0,1.0
WORK_OF_ART,17,1.0,1.0,1.0,1.0,1.0
FAC,17,1.0,1.0,1.0,1.0,1.0
PRODUCT,21,1.0,1.0,1.0,1.0,1.0
EVENT,9,0.0,0.0,0.0,0.0,1.0
LAW,2,1.0,1.0,1.0,1.0,1.0
LANGUAGE,1,0.0,0.0,1.0,1.0,1.0
unknown,189,1.0,1.0,1.0,1.0,1.0
Overall,19,0.8947368421052632,0.8947368421052632,0.9473684210526315,0.8947368421052632,1.0
gpt35,gpt35,gpt35,gpt35,gpt35,gpt35,gpt35
DATE,52,1.0,1.0,1.0,1.0,0.0
CARDINAL,105,1.0,1.0,1.0,1.0,1.0
QUANTITY,1,0.0,0.0,0.0,1.0,1.0
ORDINAL,3,0.0,1.0,1.0,1.0,1.0
MONEY,4,1.0,1.0,1.0,1.0,1.0
PERCENT,2,1.0,0.0,1.0,0.0,0.0
TIME,5,1.0,1.0,1.0,1.0,1.0
PERSON,744,0.0,1.0,0.0,1.0,1.0
GPE,296,1.0,1.0,1.0,1.0,1.0
ORG,380,0.0,1.0,0.0,1.0,1.0
NORP,58,1.0,1.0,1.0,1.0,1.0
LOC,32,0.0,1.0,0.0,1.0,1.0
WORK_OF_ART,17,0.0,1.0,0.0,1.0,1.0
