Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero,Human
fid,fid,fid,fid,fid,fid,fid,fid
DATE,52,0.0,0.0,0.0,0.0,0.0,0.0
CARDINAL,105,0.0,0.0,0.0,0.0,0.0,0.0
QUANTITY,1,0.0,0.0,0.0,0.0,0.0,0.0
ORDINAL,3,1.0,1.0,1.0,1.0,1.0,1.0
MONEY,4,0.0,0.0,0.0,0.0,0.0,0.0
PERCENT,2,0.0,0.0,0.0,1.0,0.0,0.0
TIME,5,0.0,0.0,0.4,0.0,0.0,0.0
PERSON,744,1.0,1.0,1.0,1.0,1.0,1.0
GPE,296,0.0,0.0,0.0,0.0,0.0,0.0
ORG,380,1.0,1.0,1.0,1.0,1.0,1.0
NORP,58,1.0,1.0,1.0,1.0,1.0,1.0
LOC,32,1.0,1.0,1.0,1.0,1.0,1.0
WORK_OF_ART,17,1.0,1.0,1.0,1.0,1.0,1.0
FAC,17,1.0,1.0,1.0,1.0,1.0,1.0
PRODUCT,21,0.0,0.0,0.0,0.0,0.0,0.0
EVENT,9,0.0,0.0,0.0,0.0,1.0,1.0
LAW,2,1.0,1.0,1.0,1.0,1.0,1.0
LANGUAGE,1,0.0,0.0,0.6666666666666666,1.0,1.0,1.0
unknown,189,1.0,1.0,1.0,1.0,1.0,1.0
Overall,19,0.47368421052631576,0.47368421052631576,0.5298245614035088,0.5789473684210527,0.5789473684210527,0.5789473684210527
gpt35,gpt35,gpt35,gpt35,gpt35,gpt35,gpt35,gpt35
DATE,52,0.0,0.0,0.0,0.0,1.0,0.0
CARDINAL,105,0.0,0.0,0.0,0.0,0.0,0.0
QUANTITY,1,0.0,0.0,0.28571428571428575,1.0,1.0,1.0
ORDINAL,3,0.0,1.0,0.6666666666666666,1.0,1.0,1.0
MONEY,4,0.0,0.0,0.0,0.0,0.0,0.0
PERCENT,2,0.0,1.0,0.19999999999999998,1.0,1.0,0.0
TIME,5,0.0,0.0,0.5,0.0,0.0,0.0
PERSON,744,0.0,1.0,0.19999999999999998,1.0,1.0,1.0
GPE,296,0.0,0.0,0.0,0.0,0.0,0.0
ORG,380,0.0,1.0,0.15384615384615385,1.0,1.0,1.0
NORP,58,1.0,1.0,1.0,1.0,1.0,1.0
LOC,32,0.0,1.0,0.16666666666666669,1.0,1.0,1.0
WORK_OF_ART,17,0.0,1.0,0.33333333333333337,1.0,1.0,1.0
FAC,17,0.0,0.0,0.0,1.0,0.0,0.0
PRODUCT,21,0.0,1.0,0.33333333333333337,1.0,1.0,1.0
EVENT,9,0.0,0.0,0.0,0.0,1.0,1.0
LAW,2,0.0,1.0,0.8,1.0,1.0,1.0
LANGUAGE,1,0.0,0.0,0.0,0.0,0.0,0.0
unknown,189,0.0,1.0,0.25,1.0,1.0,1.0
Overall,19,0.05263157894736842,0.5263157894736842,0.25734528629265474,0.631578947368421,0.6842105263157895,0.5789473684210527
chatgpt,chatgpt,chatgpt,chatgpt,chatgpt,chatgpt,chatgpt,chatgpt
DATE,52,0.0,0.0,0.0,0.0,0.0,0.0
CARDINAL,105,0.0,0.0,0.0,0.0,0.0,0.0
QUANTITY,1,0.0,0.0,0.2222222222222222,1.0,1.0,1.0
ORDINAL,3,1.0,1.0,1.0,1.0,1.0,1.0
MONEY,4,0.0,0.0,0.0,0.0,0.0,0.0
PERCENT,2,0.0,0.0,0.0,1.0,0.0,0.0
TIME,5,0.0,0.0,0.5,0.0,0.0,0.0
PERSON,744,0.0,0.0,0.0,0.0,0.0,0.0
GPE,296,0.0,0.0,0.0,0.0,0.0,0.0
ORG,380,0.0,1.0,0.33333333333333337,1.0,1.0,1.0
